#DataThief C:\Attha\Radboud U\Source code\Attha\paper2_Raoul\Extract_pdf_from_the_paper\Firing probability.jpg Tuesday 20-Mar-2012 10:38:02 AM
0., 0.0436
6.6832, 0.0499
10.6931, 0.0548
12.4752, 0.0562
19.604, 0.0646
28.5149, 0.0673
37.4257, 0.0729
43.6634, 0.0771
51.6832, 0.0799
58.8119, 0.0799
64.1584, 0.0714
71.2871, 0.063
76.6337, 0.0545
82.8713, 0.046
90.8911, 0.039
99.802, 0.0291
109.604, 0.0249
117.6238, 0.0192
126.5347, 0.0192
134.5545, 0.0121
142.5743, 7.8744e-3
149.7029, 9.2517e-3
161.2871, 6.3962e-3
171.0891, 7.7631e-3
179.1089, 4.9215e-3
187.1287, 6.9979e-3
192.9207, 6.9753e-3
198.2673, 6.9545e-3
202.7227, 8.3422e-3
208.5149, 8.3196e-3
213.4158, 6.1928e-3
218.3168, 6.8762e-3
224.1089, 7.5562e-3
228.1188, 8.2431e-3
232.5743, 8.2257e-3
237.0297, 7.5057e-3
241.9306, 8.8918e-3
248.1683, 8.1648e-3
253.0693, 8.8483e-3
257.9703, 8.1266e-3
261.5347, 9.5178e-3
266.4356, 9.4987e-3
272.2277, 0.013
275.7921, 0.0137
281.1386, 0.0144
285.5941, 0.0129
290.0495, 0.0143
294.9505, 0.015
299.4059, 0.0143
303.4158, 0.0143
307.8713, 0.0178
313.6634, 0.0184
319.4554, 0.0198
323.4653, 0.0191
327.0297, 0.0191
329.7029, 0.0198
334.1584, 0.0191
340.8416, 0.019
344.4059, 0.0204
346.1881, 0.0246
349.7525, 0.0281
352.4257, 0.0316
355.099, 0.0351
358.6634, 0.0372
